数据年份,企业名称,营业总收入,资产总额,负债总额,纳税总额,主营业务收入,所有者权益,利润总额,净利润,平均净资产,平均资产总额,社保人数
2018,洋县金鼎矿业开发有限公司,32,900,500,0,32,400,-1,-1,700,900,--
2017,洋县金鼎矿业开发有限公司,32,900,0,0,32,900,-1,-1,900,900,0
2019,天津大沽化工股份有限公司,1218000,1150300,866300,33000,1174100,284000,10600,9500,280800,1179700,--
2018,天津大沽化工股份有限公司,1448900,1209100,931500,52000,1399200,277600,14900,12500,271200,1247000,4000
2017,天津大沽化工股份有限公司,1321900,1284900,1020000,39400,1267800,264900,5900,4900,262300,1294200,4100
2019,中信银行股份有限公司,18758400,675043000,621791000,2538000,18758400,53252300,5654400,4899300,49280000,640857000,3500
2018,中信银行股份有限公司,16485400,606671000,561363000,2730100,16485400,45308600,5432500,4537500,43275500,587220000,2300
2017,中信银行股份有限公司,15670800,567769000,526526000,2423200,15658900,41243300,5227600,4287800,39846500,580437000,2000
2019,福建晋江农村商业银行股份有限公司,131300,4374100,3954500,5200,129200,419600,45000,39700,403900,4170100,--
2018,福建晋江农村商业银行股份有限公司,136700,3966100,3577800,7400,113600,388200,46400,39600,372600,4198600,700
2017,福建晋江农村商业银行股份有限公司,139200,4431200,4074100,16000,56800,357000,51600,35500,356800,4387800,800
2019,大连晟亚科技发展有限公司,63500,17800,16400,100,63500,1400,400,300,1200,18000,5
2018,大连晟亚科技发展有限公司,118600,18100,17100,300,118600,1000,400,300,900,16800,6
2017,大连晟亚科技发展有限公司,112800,15500,14700,500,112800,700,300,200,600,11700,4
2019,武汉有机实业有限公司,200300,162700,65900,2200,198500,96700,10600,9300,91900,155800,--
2018,武汉有机实业有限公司,133500,149000,61800,3700,112500,87200,11600,10100,82200,141500,500
2017,武汉有机实业有限公司,82400,134000,56800,1800,65900,77200,5600,4900,61500,120400,500
2019,河南星通物联科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,河南星通物联科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,河南星通物联科技有限公司,16,500,500,1,16,43,0,0,57,400,8
2019,上海蓝帆化工有限公司,240000,13100,10200,400,240000,2800,500,300,2600,14700,--
2018,上海蓝帆化工有限公司,207500,16400,13900,600,207500,2400,500,400,2200,13800,5
2017,上海蓝帆化工有限公司,161900,11300,9300,700,161900,1900,300,200,1800,11600,5
2019,上海鹏抟工贸有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,上海鹏抟工贸有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,上海鹏抟工贸有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,绍兴银行股份有限公司,515300,12725100,12004500,38100,513700,720600,58600,47200,696100,11736700,--
