数据年份,企业名称,营业总收入,资产总额,负债总额,纳税总额,主营业务收入,所有者权益,利润总额,净利润,平均净资产,平均资产总额,社保人数
2018,中国石油天然气股份有限公司华北化工销售分公司,2169800,--,--,12200,2169800,--,12100,12100,--,--,100
2017,中国石油天然气股份有限公司华北化工销售分公司,210100,--,--,18700,210100,--,22300,22300,--,--,100
2019,新疆天业（集团）有限公司,1107400,2337100,1466200,6800,1097300,870900,208100,208100,776600,2410300,--
2018,新疆天业（集团）有限公司,1078900,2483600,1801200,5300,1068800,682400,-4500,-4500,552200,2218000,1100
2017,新疆天业（集团）有限公司,992600,1952400,1530300,9300,978000,422000,-43400,-44500,459900,1984900,1000
2019,河南乘吉燃气有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,河南乘吉燃气有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,河南乘吉燃气有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,浙江民泰商业银行股份有限公司,419600,14583200,13544700,58800,415800,1038400,95200,69800,1003500,13706800,--
2018,浙江民泰商业银行股份有限公司,336900,12830400,11861800,57100,317500,968500,75900,59700,906200,12635500,5400
2017,浙江民泰商业银行股份有限公司,301800,12440600,11596800,15400,295100,843800,66800,51600,817900,12065600,5500
2019,江苏银行股份有限公司,4284300,202014000,188860000,638600,4284300,13154200,1450200,1412600,12802000,197298000,--
2018,江苏银行股份有限公司,3522400,192582000,180132000,602000,3522400,12450500,1426700,1326200,11866500,184818500,14800
2017,江苏银行股份有限公司,3383900,177055000,165772000,527500,3383900,11282800,1378900,1201600,9851500,168442000,14600
2019,南京诚志清洁能源有限公司,408400,813100,109200,37600,385400,703800,76000,66200,666800,798600,600
2018,南京诚志清洁能源有限公司,431100,784100,154300,46500,415200,629700,109600,95900,530600,701500,600
2017,南京诚志清洁能源有限公司,425500,618900,187400,69300,401900,431500,113400,98000,382600,588800,600
2019,天津银行股份有限公司,1659700,66547000,61530900,351100,1444300,5016000,546400,446300,4850500,65817900,6600
2018,天津银行股份有限公司,1179500,65088900,60403900,257800,1025500,4685000,506000,410800,4542800,67225400,6600
2017,天津银行股份有限公司,987500,69362000,64961400,203100,824400,4400600,479700,387600,4285500,67520100,6500
2019,柳州银行股份有限公司,650100,12770100,11213600,51600,649700,1556500,83800,63000,1522200,12920300,--
2018,柳州银行股份有限公司,575700,13070600,11582700,35000,574100,1487900,60700,46900,1252300,12412700,2400
2017,柳州银行股份有限公司,532100,11754900,10738100,1800,531000,1016800,9600,7800,913700,11165500,2200
2019,中海壳牌石油化工有限公司,3929400,4645600,2314700,1203400,3832100,2330900,270700,203000,2378400,4673500,--
2018,中海壳牌石油化工有限公司,--,4701500,2275400,1064500,3628100,2426000,432300,325700,2434900,4584900,--
2017,中海壳牌石油化工有限公司,--,4468300,2024400,263400,2407100,2443800,587300,440100,2341100,4163100,2000
2019,长安银行股份有限公司,758300,28773700,27125400,9000,620200,1648300,227000,175100,1566500,26449700,3900
2018,长安银行股份有限公司,553800,24125800,22641000,6500,298600,1484700,197700,154800,1420000,22537400,--
2017,长安银行股份有限公司,467900,20949100,19593900,5500,221300,1355100,182200,139000,1304700,19541500,3700
2019,安徽昊源化工集团有限公司颍东新材料产业园分公司,211700,--,--,3600,211700,--,22000,22000,--,--,600
2018,安徽昊源化工集团有限公司颍东新材料产业园分公司,--,--,--,--,--,--,--,--,--,--,400
2017,安徽昊源化工集团有限公司颍东新材料产业园分公司,--,--,--,--,--,--,--,--,--,--,--
2019,广州市闽烁投资控股有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,广州市闽烁投资控股有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,广州市闽烁投资控股有限公司,0,29800,4,0,0,29800,-8,-8,29800,29800,0
2019,齐鲁银行股份有限公司,715100,30278500,28036300,135500,550600,2242200,266000,231600,2155100,28252600,--
2018,齐鲁银行股份有限公司,619000,26226700,24158700,93200,538200,2068000,253000,215100,1946600,24789500,2300
2017,齐鲁银行股份有限公司,535100,23352300,21527100,109800,475900,1825100,235100,201800,1550700,21973400,2300
2019,广东华兴银行股份有限公司,587400,23314100,21745400,109900,554500,1568600,230400,203500,1474400,21495400,--
2018,广东华兴银行股份有限公司,--,19676800,18296700,86100,382000,1380100,172900,150700,1285200,17458200,--
2017,广东华兴银行股份有限公司,--,15239700,14049400,70300,273800,1190200,154800,123300,904100,13763200,1500
2019,新浦化学（泰兴）有限公司,756000,816700,344200,51600,749200,472500,129100,98600,438600,781100,1200
2018,新浦化学（泰兴）有限公司,818500,745600,340900,61600,817900,404600,97600,73400,386700,720700,1300
2017,新浦化学（泰兴）有限公司,788500,695800,327000,57600,788300,368800,102700,77300,335900,660000,1300
2019,威海海林商业管理有限公司,0,0,0,0,0,0,0,0,0,0,--
2018,威海海林商业管理有限公司,0,0,0,0,0,0,0,0,0,0,0
2017,威海海林商业管理有限公司,0,0,0,0,0,0,0,0,0,2100,0
2019,广东快旅网络科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,广东快旅网络科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,广东快旅网络科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,北京四联创业化工集团有限公司,960100,114200,93600,700,960100,20500,2800,2800,19100,109400,100
2018,北京四联创业化工集团有限公司,774600,104600,86900,800,774600,17700,2400,2400,14100,88000,100
2017,北京四联创业化工集团有限公司,624700,71300,60800,1800,624700,10500,-1400,-1500,11600,63800,100
2019,中石油海南销售有限公司,484600,159700,53700,15800,473200,106000,32900,25200,102300,160000,700
2018,中石油海南销售有限公司,441400,160400,61800,15600,430200,98500,27600,20500,93100,139900,800
2017,中石油海南销售有限公司,327200,119500,31700,10300,323500,87700,10300,7600,78800,108900,800
2019,广东瑞福来珠宝有限公司,0,1000,0,0,0,1000,0,0,1000,1000,--
2018,广东瑞福来珠宝有限公司,--,1000,0,0,0,1000,0,0,1000,1000,1
2017,广东瑞福来珠宝有限公司,--,1000,0,0,0,1000,0,0,900,1000,1
2019,南京扬子石化碧辟乙酰有限责任公司,105000,119000,48600,5100,105000,70300,7800,5900,67400,130100,--
2018,南京扬子石化碧辟乙酰有限责任公司,155300,141200,76700,10900,153400,64400,39800,29700,49600,127600,80
2017,南京扬子石化碧辟乙酰有限责任公司,118600,114000,79300,4400,118600,34700,10000,5800,21700,111900,78
2019,温州市豫光汽车贸易有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,温州市豫光汽车贸易有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,温州市豫光汽车贸易有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,楚雄红塔村镇银行股份有限公司,8400,213900,191200,300,8400,22700,2100,1800,11300,107000,--
2018,楚雄红塔村镇银行股份有限公司,8800,100,100,500,8800,21,2,1,9800,114200,84
2017,楚雄红塔村镇银行股份有限公司,9700,228300,208600,40000,4700,19600,700,600,19500,234400,71
2019,阜新银行股份有限公司,209700,16674300,15623000,55300,206800,1051300,52800,40000,1142400,17206900,--
2018,阜新银行股份有限公司,235700,17739500,16505900,56800,231100,1233600,65500,56500,1216300,19660400,2100
2017,阜新银行股份有限公司,244500,21581400,20382400,38700,244300,1198900,107600,95000,1084000,18223000,2100
2019,茂名市恒荣塑料制品有限公司,30300,1300,1000,34,30300,200,30,30,200,1600,--
2018,茂名市恒荣塑料制品有限公司,39400,2000,1700,25,39400,200,32,32,200,1300,--
2017,茂名市恒荣塑料制品有限公司,45100,700,500,51,45100,200,23,22,200,700,0
2019,九江银行股份有限公司,966000,36335200,33799400,178200,727600,2535700,228200,188100,2447900,33748700,1000
2018,九江银行股份有限公司,792300,31162300,28802300,121300,556800,2359900,220100,178600,2062500,29143800,900
2017,九江银行股份有限公司,585500,27125400,25360300,102400,563900,1765100,223600,176100,1562500,24825800,900
2019,苏州千步五金交电有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,苏州千步五金交电有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,苏州千步五金交电有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,朔州好望角休闲娱乐有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,朔州好望角休闲娱乐有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,朔州好望角休闲娱乐有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,齐商银行股份有限公司,463700,12446200,11169700,42200,458400,1276500,72200,57400,1245900,11554300,--
2018,齐商银行股份有限公司,435800,10662500,9447200,44700,435000,1215300,64100,51700,1186400,10553300,2800
2017,齐商银行股份有限公司,447000,10444200,9286600,45400,446400,1157500,63200,47200,1150500,10304800,2700
2019,福建省福橡化工有限责任公司,3200,59700,159400,300,3200,-99600,-13700,-13600,-92800,62600,--
2018,福建省福橡化工有限责任公司,42700,65500,151500,400,42100,-85900,-15600,-21200,-75400,76300,56
2017,福建省福橡化工有限责任公司,93600,87100,151900,400,93100,-64800,-32500,-36600,-46500,101200,200
2019,鄂尔多斯农村商业银行股份有限公司,62600,3612400,3188900,3600,60500,423500,-47600,-47600,447400,3526500,--
2018,鄂尔多斯农村商业银行股份有限公司,113200,3440500,2969200,13100,100800,471200,-14200,-14200,477400,3469800,700
2017,鄂尔多斯农村商业银行股份有限公司,196800,3499100,3015400,20000,153700,483600,34200,31400,470100,4429900,--
2019,四川乐家智联科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,四川乐家智联科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,四川乐家智联科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,苏州润泰燃料有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,苏州润泰燃料有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,苏州润泰燃料有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,西安坤和电子科技有限公司,17400,26200,23900,34,17400,26200,-1000,-1000,2200,26200,0
2018,西安坤和电子科技有限公司,17400,26200,23900,34,17400,2200,-1000,-1000,600,22100,--
2017,西安坤和电子科技有限公司,21000,18100,18900,41,21000,-800,-1200,-1200,-500,15200,13
2019,神木市祥鼎能源有限公司,9100,2200,700,41,9100,1400,32,32,1700,2100,0
2018,神木市祥鼎能源有限公司,13500,1900,72,82,13500,1900,-100,-100,1900,1900,0
2017,神木市祥鼎能源有限公司,18800,1900,72,78,18800,1900,-7,-7,1800,2600,0
2019,天津娃哈哈宏振食品饮料贸易有限公司,634900,114100,107400,1900,634900,6700,6900,5200,6400,125000,--
2018,天津娃哈哈宏振食品饮料贸易有限公司,704300,136000,129800,3100,704300,6200,6200,4600,3900,114000,--
2017,天津娃哈哈宏振食品饮料贸易有限公司,657000,92000,90500,3200,657000,1500,6800,5100,1500,112300,9
2019,永州农村商业银行股份有限公司,93000,1818600,1703000,6000,78700,115600,600,46,122000,1799400,--
2018,永州农村商业银行股份有限公司,98400,1780200,1651800,11200,97400,128400,13100,6100,125300,1775500,100
2017,永州农村商业银行股份有限公司,103100,1770800,1648600,16700,84700,122200,25900,16100,114800,1628000,100
2019,陕西秦农农村商业银行股份有限公司,455200,18008800,16597500,62900,455200,1411200,153100,126100,1372100,17765600,--
2018,陕西秦农农村商业银行股份有限公司,476100,17522500,16189500,45800,151500,1333000,104800,92400,1314500,16743500,5400
2017,陕西秦农农村商业银行股份有限公司,358500,15964500,14668400,58000,357800,1296100,193900,166000,1208500,13722300,3200
2019,中阳县益锦焦化有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,中阳县益锦焦化有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,中阳县益锦焦化有限公司,--,--,--,--,--,--,--,--,--,--,--
